Gene,Mean_COVID,Mean_Mock,Log2FC,P_value,Adjusted_P,-log10(p),Regulation
WASH7P,29.80952380952381,46.724137931034484,-0.6483947169598038,0.08951127907174292,0.7452224593095071,0.12771406493091597,Not Significant
LOC729737,59.04761904761905,55.6551724137931,0.08536311434526928,0.8982081435224074,0.9945875062221738,0.0023570005761926406,Not Significant
LOC100133331,23.904761904761905,27.482758620689655,-0.20122878769088787,0.639737146287211,0.9744837285132826,0.011225408137833326,Not Significant
LOC100288069,13.952380952380953,9.862068965517242,0.5005490899926703,0.19428738652243166,0.8649661359357317,0.06300089515268555,Not Significant
LINC00115,35.0,14.0,1.3219280948873624,0.0022574279124652438,0.12844015122620514,0.8912991917643038,Not Significant
SAMD11,281.85714285714283,524.8620689655172,-0.8969742109080415,0.19333763404546397,0.8640329707428634,0.06346968490711842,Not Significant
NOC2L,1142.3809523809523,1527.8620689655172,-0.41947047711447333,0.20733949609845434,0.8742540740913491,0.058362335168252635,Not Significant
KLHL17,134.95238095238096,190.72413793103448,-0.49903701144909474,0.19130492628363763,0.8633692121370105,0.06380344240364384,Not Significant
PLEKHN1,88.28571428571429,104.41379310344827,-0.24206038901138896,0.5323315984489931,0.9643914651782475,0.015746641764506006,Not Significant
HES4,153.47619047619048,165.9655172413793,-0.11286866255651526,0.8200265705134859,0.9903053570998275,0.0042308716088150285,Not Significant
ISG15,1198.0,261.48275862068965,2.195840180337144,0.04428810932589387,0.6111487952382167,0.21385304002965144,Not Significant
AGRN,5322.142857142857,5632.793103448276,-0.0818432455715471,0.8478474209879494,0.9915853509173703,0.0036698978609982177,Not Significant
RNF223,17.571428571428573,12.275862068965518,0.5174071474428102,0.5756813618052805,0.9653137428245997,0.015331510871528143,Not Significant
C1orf159,109.38095238095238,186.89655172413794,-0.7728784225144981,0.06078955563501465,0.6691658393782287,0.17446623768604322,Not Significant
TNFRSF18,2.4761904761904763,2.310344827586207,0.10001410003213165,0.8310537333033614,0.9908113707188501,0.004009018020682151,Not Significant
SDF4,1620.3333333333333,2109.9655172413795,-0.38092878803358304,0.3388789343379548,0.9238158931173323,0.03441457052226646,Not Significant
B3GALT6,285.76190476190476,361.7586206896552,-0.3402137945485409,0.32607811810054077,0.9204647395369983,0.03599284346394778,Not Significant
UBE2J2,332.3809523809524,400.55172413793105,-0.26915084454992416,0.36429166438602,0.9271698554691219,0.03284069677724454,Not Significant
SCNN1D,36.61904761904762,65.34482758620689,-0.8354787727478155,0.26603587524782274,0.9025318284810074,0.04453747342238445,Not Significant
ACAP3,239.71428571428572,454.2758620689655,-0.9222527612763496,0.016092394225026514,0.39573943629295666,0.4025906691905811,Not Significant
PUSL1,116.0952380952381,189.20689655172413,-0.7046558775008486,0.08623737120604953,0.7402020021445304,0.13064974453252343,Not Significant
TAS1R3,4.238095238095238,6.862068965517241,-0.6952276172284391,0.10302736514757765,0.7779524697406953,0.10904693612073355,Not Significant
DVL1,791.952380952381,957.2413793103449,-0.27346907699230943,0.4146631333176206,0.9408609232823381,0.026474568618398,Not Significant
MXRA8,20.047619047619047,39.89655172413793,-0.9928331536922819,0.1883124522569836,0.8595588221878123,0.06572439788622425,Not Significant
AURKAIP1,589.5238095238095,1059.448275862069,-0.8456911678460463,0.02536065026307891,0.48381917143968983,0.31531692662005795,Not Significant
CCNL2,1115.0,1313.0344827586207,-0.23586109447182538,0.5355708681784683,0.9643914651782475,0.015746641764506006,Not Significant
LOC148413,176.04761904761904,197.17241379310346,-0.1634920040950432,0.5800891686505101,0.9653137428245997,0.015331510871528143,Not Significant
MRPL20,590.1904761904761,769.2413793103449,-0.38225573032021615,0.2111468958257469,0.8747109045505619,0.058135459325069715,Not Significant
ANKRD65,50.142857142857146,53.793103448275865,-0.10137702037508194,0.9168213806990237,0.9965163583319682,0.0015155677362021292,Not Significant
VWA1,337.23809523809524,656.6551724137931,-0.961368454944306,0.2671436779767888,0.9037052151654467,0.04397321145503116,Not Significant
ATAD3C,5.428571428571429,5.068965517241379,0.09888124167718934,0.8827165925933202,0.9924806323757632,0.00327795946097143,Not Significant
ATAD3B,92.19047619047619,173.72413793103448,-0.9141085971108347,0.20765939500222935,0.8742540740913491,0.058362335168252635,Not Significant
ATAD3A,286.85714285714283,449.58620689655174,-0.6482653328816992,0.08958112962852874,0.7452224593095071,0.12771406493091597,Not Significant
TMEM240,3.619047619047619,5.172413793103448,-0.5152276047034835,0.3036995277283882,0.9117665352655545,0.04011635183159821,Not Significant
SSU72,1092.4761904761904,1149.655172413793,-0.07359936624038407,0.8001585225964203,0.9897764726637729,0.004462873735346122,Not Significant
MIB2,174.33333333333334,324.7241379310345,-0.8973661836499139,0.027613829889099994,0.49624433923080746,0.30430443429400855,Not Significant
CDK11B,244.61904761904762,263.2068965517241,-0.1056605452957153,0.7090334709889117,0.982704457454205,0.007577074024933043,Not Significant
SLC35E2B,434.6190476190476,416.17241379310343,0.06257006502860558,0.847064862474484,0.9915266951262188,0.003695588680119623,Not Significant
CDK11A,127.33333333333333,133.41379310344828,-0.06729769100105187,0.8297406957517542,0.9908113707188501,0.004009018020682151,Not Significant
NADK,534.0952380952381,546.5862068965517,-0.033352032452609905,0.9151953934383315,0.9963991344021177,0.001566658418296175,Not Significant
GNB1,4739.0,3870.103448275862,0.29221053069387765,0.4319269427590344,0.9439468027228528,0.025052480209253054,Not Significant
CALML6,6.380952380952381,7.241379310344827,-0.1824927548595382,0.7264915786495463,0.9857842612510448,0.006218119947157752,Not Significant
TMEM52,5.809523809523809,7.103448275862069,-0.29009961727152045,0.5674148254359335,0.9653137428245997,0.015331510871528143,Not Significant
GABRD,3.238095238095238,5.793103448275862,-0.839191009179609,0.15724031142450115,0.8373575494930877,0.0770890597908744,Not Significant
PRKCZ,271.42857142857144,256.34482758620686,0.08248680342652079,0.847925569637622,0.9915853509173703,0.0036698978609982177,Not Significant
SKI,489.9047619047619,478.0344827586207,0.03538662478906869,0.913515650112857,0.9960902672808141,0.0017013033377468447,Not Significant
MORN1,52.23809523809524,63.06896551724138,-0.2718279769967118,0.4423591888445715,0.9456822863070284,0.024254745711687745,Not Significant
LOC100129534,16.761904761904763,26.93103448275862,-0.6840835471558699,0.07260422270959747,0.7069055636523882,0.1506386002399277,Not Significant
RER1,1200.4285714285713,1367.9310344827586,-0.1884459351670125,0.543962581228161,0.9643914651782475,0.015746641764506006,Not Significant
PEX10,210.14285714285714,245.79310344827587,-0.22607401719712386,0.5256871310645044,0.9637179755168135,0.016050040367616418,Not Significant
PLCH2,230.0,309.3103448275862,-0.4274212237346764,0.6486589437205692,0.974726854422323,0.011117068646784073,Not Significant
PANK4,204.61904761904762,207.51724137931035,-0.020290757210586464,0.9464475803796153,0.998356085845664,0.000714530320252171,Not Significant
HES5,1.2380952380952381,6.206896551724138,-2.325749805839771,0.15395229640752142,0.8358506683467076,0.07787130594136407,Not Significant
TNFRSF14,57.857142857142854,41.48275862068966,0.4799832436658785,0.5515132996568628,0.9643914651782475,0.015746641764506006,Not Significant
FAM213B,286.6666666666667,319.6551724137931,-0.15714227951701665,0.7521861237406349,0.9884545672094962,0.005043287567975714,Not Significant
MMEL1,5.095238095238095,5.275862068965517,-0.050257283942692924,0.9572196479940565,0.998778329906317,0.0005308889320271172,Not Significant
PRDM16,16.761904761904763,11.620689655172415,0.5284904098042507,0.23307140129248385,0.8852758135060337,0.05292140091576136,Not Significant
ARHGEF16,164.9047619047619,189.89655172413794,-0.20358064860483818,0.6803086670738878,0.9798062295035939,0.008859803672875234,Not Significant
MEGF6,183.0952380952381,248.17241379310346,-0.43874848781659004,0.4591324498177106,0.9476325713868466,0.023360020416060626,Not Significant
TPRG1L,435.6190476190476,510.13793103448273,-0.22782033768718968,0.5143819781278244,0.9592923073398213,0.018049038166597024,Not Significant
WRAP73,207.95238095238096,232.9655172413793,-0.16386322467231867,0.6013621797683215,0.9673297880527567,0.014425438311893744,Not Significant
TP73,8.380952380952381,11.551724137931034,-0.4629220943590256,0.2668884524311837,0.9030399490973056,0.044293036742142314,Not Significant
TP73-AS1,219.38095238095238,219.3448275862069,0.0002375837697711751,0.9994538539963382,1.0,-0.0,Not Significant
SMIM1,9.952380952380953,11.620689655172415,-0.22358207675216388,0.5961726006720265,0.9673297880527567,0.014425438311893744,Not Significant
LRRC47,533.3333333333334,607.6551724137931,-0.18821536686486667,0.5093151448921199,0.956765377569639,0.01919454886832338,Not Significant
CEP104,386.8095238095238,353.58620689655174,0.129561318994058,0.6859846831871255,0.9805504616725955,0.008530051499472058,Not Significant
DFFB,62.57142857142857,65.27586206896552,-0.061045563032564,0.8578104477877897,0.9920797912425259,0.0034533968954585338,Not Significant
C1orf174,229.0,226.89655172413794,0.013312914601912279,0.9668222160164377,0.9993110914213701,0.0002992922985917567,Not Significant
AJAP1,3.0,5.655172413793103,-0.9146085087693553,0.2597245866999238,0.8987193452257912,0.04637590987897238,Not Significant
NPHP4,118.52380952380952,137.27586206896552,-0.21190106876150203,0.5429334393340753,0.9643914651782475,0.015746641764506006,Not Significant
KCNAB2,184.52380952380952,285.44827586206895,-0.6294223658325167,0.16993707610145442,0.8511471547769774,0.06999534827882023,Not Significant
CHD5,23.571428571428573,14.10344827586207,0.740991254374035,0.20039857120275945,0.8685408924751725,0.06120972936628905,Not Significant
RPL22,3625.6190476190477,3544.1724137931033,0.0327785570963242,0.9193129394037982,0.9965163583319682,0.0015155677362021292,Not Significant
RNF207,259.8095238095238,293.7931034482759,-0.1773462137402164,0.6853367536338768,0.9798968290319683,0.00881964771649939,Not Significant
ICMT,1219.7619047619048,1465.4827586206898,-0.26477643094401476,0.44686848658946243,0.9464108900606724,0.023920271057591095,Not Significant
GPR153,209.28571428571428,250.58620689655172,-0.25983316860470407,0.7305314247943084,0.9861726526793418,0.006047044955490875,Not Significant
ACOT7,655.2380952380952,909.0,-0.4722610573834073,0.15782410508745462,0.837426130625935,0.07705349172566282,Not Significant
HES2,951.8095238095239,844.7931034482758,0.17207483302105545,0.8645319532183643,0.9920797912425259,0.0034533968954585338,Not Significant
ESPN,94.38095238095238,137.13793103448276,-0.5390600272699113,0.5549683311180711,0.9646592101268806,0.01562608489579945,Not Significant
TNFRSF25,64.28571428571428,78.72413793103448,-0.2923078799376967,0.6603564398703882,0.9779135561238489,0.009699533512652072,Not Significant
PLEKHG5,290.9047619047619,285.7241379310345,0.0259239924498502,0.9723742036273852,0.9993110914213701,0.0002992922985917567,Not Significant
NOL9,263.23809523809524,269.37931034482756,-0.03327076114972117,0.8947645910877138,0.9940544002145324,0.002589847930142999,Not Significant
ZBTB48,135.47619047619048,137.27586206896552,-0.019038646548593417,0.9496816673791248,0.998778329906317,0.0005308889320271172,Not Significant
KLHL21,395.2857142857143,434.0,-0.1347992258921288,0.6440984958965944,0.9744837285132826,0.011225408137833326,Not Significant
PHF13,264.04761904761904,213.89655172413794,0.30388490782613004,0.3135215929582391,0.9162758991618764,0.03797373654822567,Not Significant
THAP3,160.42857142857142,140.68965517241378,0.18941484861171118,0.4680917385885597,0.9498360460264405,0.022351353080669135,Not Significant
DNAJC11,672.047619047619,684.3448275862069,-0.026159992142622053,0.9380418679097076,0.9976050289593942,0.0010413702313886333,Not Significant
CAMTA1,318.57142857142856,329.86206896551727,-0.05024600810867066,0.8823558057543422,0.9924806323757632,0.00327795946097143,Not Significant
VAMP3,1158.5238095238096,1102.655172413793,0.07130599922226993,0.8166981730716444,0.9903053570998275,0.0042308716088150285,Not Significant
PER3,151.04761904761904,71.93103448275862,1.0703171855330247,0.0010879385837892974,0.08072587701225102,1.0929872280759019,Not Significant
TNFRSF9,209.95238095238096,51.58620689655172,2.025004874076923,0.00027352006654163014,0.03635694746556375,1.4394125873453634,Up
PARK7,1902.8095238095239,2331.206896551724,-0.2929458992265394,0.35690467708156237,0.9258665765052314,0.033451593515116215,Not Significant
ERRFI1,3209.6666666666665,1568.655172413793,1.0328952284051398,0.00035571622241383323,0.04251773979378989,1.3714298302535133,Up
SLC45A1,53.23809523809524,65.34482758620689,-0.2956140878664518,0.6522147530382152,0.9752229710139876,0.010896077624369989,Not Significant
RERE,787.4285714285714,651.8965517241379,0.2725060168996628,0.4027701145008342,0.939163125936543,0.027258967327999133,Not Significant
ENO1,26428.04761904762,29676.55172413793,-0.16725361798029603,0.5962109606466501,0.9673297880527567,0.014425438311893744,Not Significant
SLC2A5,6.857142857142857,8.310344827586206,-0.2773007624388375,0.44337105764113804,0.9456822863070284,0.024254745711687745,Not Significant
GPR157,39.666666666666664,33.62068965517241,0.2385778490773863,0.5063899215366048,0.9559800680400821,0.019551162567463292,Not Significant
H6PD,810.2857142857143,617.7931034482758,0.39130693945378686,0.332146520145579,0.922927761972628,0.0348322900947954,Not Significant
SPSB1,575.9047619047619,435.62068965517244,0.4027577751101137,0.27128076630574705,0.903981468905812,0.04384047221759917,Not Significant
SLC25A33,82.71428571428571,66.10344827586206,0.32341098939105406,0.32942589844618086,0.9210942645674377,0.035695921934982354,Not Significant
TMEM201,120.0,166.68965517241378,-0.4741301670294918,0.23854506988499685,0.887133339007475,0.05201109939821571,Not Significant
PIK3CD,276.7142857142857,197.31034482758622,0.48793052935003883,0.2093626108183828,0.8742540740913491,0.058362335168252635,Not Significant
CLSTN1,3466.5714285714284,3279.1724137931033,0.0801777291189783,0.8533046629823928,0.9920797912425259,0.0034533968954585338,Not Significant
CTNNBIP1,189.23809523809524,262.86206896551727,-0.47410343117602904,0.2976276277589641,0.9095825976223629,0.04115785727907034,Not Significant
LZIC,295.6666666666667,261.86206896551727,0.17516450508839077,0.5902412334919539,0.9668415275018845,0.014644704170893792,Not Significant
NMNAT1,177.33333333333334,157.24137931034483,0.1734828208555015,0.7275697535756409,0.9857842612510448,0.006218119947157752,Not Significant
RBP7,29.095238095238095,12.724137931034482,1.1932151361071455,0.02444275234097516,0.47646371472249804,0.3219701676296954,Not Significant
UBE4B,581.0,572.4827586206897,0.02130591920099022,0.9538954370998889,0.998778329906317,0.0005308889320271172,Not Significant
