Gene,Mean_IAV,Mean_Mock,Log2FC,P_value,Adjusted_P,-log10(p),Regulation
WASH7P,43.6,46.724137931034484,-0.09983991122409785,0.8342836717291844,0.893726238358019,0.04879549169399679,Not Significant
LOC729737,44.3,55.6551724137931,-0.3292090744825523,0.6973628739105413,0.7974370594223753,0.09830358516641537,Not Significant
LOC100133331,12.7,27.482758620689655,-1.1136983269780962,0.11277847431382017,0.26950365446585245,0.5694353414101058,Not Significant
LOC100288069,3.4,9.862068965517242,-1.5363555952878405,0.014914972231135314,0.13681823634168233,0.8638560121574276,Not Significant
LINC00115,3.5,14.0,-2.0,0.008310804648391196,0.12094221948664469,0.9174220656460873,Not Significant
SAMD11,7.5,524.8620689655172,-6.128903933965478,0.039670879977059266,0.17397522160120193,0.7595126016493412,Not Significant
NOC2L,1484.9,1527.8620689655172,-0.041148530280816664,0.9093111411861418,0.9435993533647317,0.02521236540219572,Not Significant
KLHL17,185.6,190.72413793103448,-0.039290731348143315,0.9289906096854916,0.9571249021168011,0.019031384312408015,Not Significant
PLEKHN1,229.4,104.41379310344827,1.1355530862703034,0.007808437120244658,0.11835842536124995,0.9268008213203699,Not Significant
HES4,542.0,165.9655172413793,1.7074093285165715,0.005570935833854375,0.10625456947466558,0.973652384054496,Not Significant
ISG15,9345.2,261.48275862068965,5.159437812148839,0.0014762268841378601,0.06378440318030097,1.1952855037368093,Not Significant
AGRN,6635.8,5632.793103448276,0.23641992345367951,0.6414092498819155,0.7530802319459162,0.12315875230502224,Not Significant
RNF223,46.3,12.275862068965518,1.9151878525340482,0.008649449859017564,0.12285407537080154,0.9106104323325014,Not Significant
C1orf159,163.9,186.89655172413794,-0.18942409690156536,0.682376571203529,0.7854874020628613,0.10486077594349502,Not Significant
TNFRSF18,5.8,2.310344827586207,1.3279447049100093,0.009659221238424975,0.12546602381298436,0.9014738651652041,Not Significant
SDF4,1675.6,2109.9655172413795,-0.33254163212184745,0.5234782962991436,0.6602597869390746,0.18028515258656955,Not Significant
B3GALT6,199.2,361.7586206896552,-0.860809749110582,0.08025891501274215,0.2291615461969211,0.6398582561443426,Not Significant
UBE2J2,427.0,400.55172413793105,0.0922475167523119,0.8023276239921362,0.8713628537154141,0.05980095802234137,Not Significant
SCNN1D,32.7,65.34482758620689,-0.9987824073201613,0.3683226510245525,0.5349877827464071,0.27165613563559937,Not Significant
ACAP3,519.0,454.2758620689655,0.19216588869931198,0.6377620773437844,0.7506148903272538,0.12458282451817065,Not Significant
PUSL1,159.8,189.20689655172413,-0.2436972673016859,0.6243960110066618,0.7396853659484713,0.13095297336338252,Not Significant
TAS1R3,18.5,6.862068965517241,1.430809740212873,0.0006317481876188717,0.03966851378646113,1.4015540704214873,Up
DVL1,1267.9,957.2413793103449,0.4054862961032105,0.3277511431986583,0.4996502145217476,0.30133392179143625,Not Significant
MXRA8,43.2,39.89655172413793,0.11476725329618855,0.882229911566554,0.9256566698769174,0.03355006518265846,Not Significant
AURKAIP1,987.6,1059.448275862069,-0.10131441291349355,0.8109119683832429,0.87789516875181,0.05655734098545256,Not Significant
CCNL2,984.8,1313.0344827586207,-0.4150021376823974,0.42306458085366916,0.5778982676418982,0.2381486074105713,Not Significant
LOC148413,71.6,197.17241379310346,-1.461426227126632,0.007244577419347035,0.115659174163291,0.9368199129973742,Not Significant
MRPL20,693.5,769.2413793103449,-0.14954048818946297,0.6590127312767178,0.7663535698350812,0.11557081522288767,Not Significant
ANKRD65,94.4,53.793103448275865,0.8113656358524404,0.26913879378678635,0.4430354572792314,0.35356151466972946,Not Significant
VWA1,396.6,656.6551724137931,-0.7274512932149766,0.523640650489609,0.6603245286552134,0.18024256996649973,Not Significant
ATAD3C,12.0,5.068965517241379,1.243271151012364,0.0224848137189308,0.14961445269576082,0.8250264517734078,Not Significant
ATAD3B,498.4,173.72413793103448,1.5205058465299706,0.012098817622414708,0.13185261756633515,0.8799112440781209,Not Significant
ATAD3A,532.9,449.58620689655174,0.24526705809780494,0.5639297875008846,0.6923181330936243,0.15969429326308604,Not Significant
TMEM240,1.9,5.172413793103448,-1.4448382768120858,0.09872161093026141,0.25174810908954237,0.5990337828004084,Not Significant
SSU72,1247.2,1149.655172413793,0.11749162906421548,0.7299210776475787,0.8208416321969378,0.08574062472875406,Not Significant
MIB2,268.2,324.7241379310345,-0.2759053921585876,0.5575221705870174,0.6885754020943503,0.1620484956097026,Not Significant
CDK11B,229.9,263.2068965517241,-0.19519082503309648,0.5815061741048834,0.706319535119418,0.15099878202967376,Not Significant
SLC35E2B,197.3,416.17241379310343,-1.0767903823830176,0.032311332248591215,0.1626516853667426,0.7887414322795507,Not Significant
CDK11A,99.0,133.41379310344828,-0.43040739823603485,0.34776493047987733,0.5170675681259421,0.28645270149626517,Not Significant
NADK,758.5,546.5862068965517,0.4727001265625609,0.18502468478427506,0.3549174730185621,0.44987261928090344,Not Significant
GNB1,5339.1,3870.103448275862,0.46422444029406257,0.25276053960370554,0.42720911119025073,0.369359493579093,Not Significant
CALML6,2.1,7.241379310344827,-1.7858751946471525,0.09917173465162897,0.25197603690829135,0.5986407589539358,Not Significant
TMEM52,3.3,7.103448275862069,-1.1060535075845552,0.19784898012293328,0.36912471602316227,0.4328268741402984,Not Significant
GABRD,1.4,5.793103448275862,-2.0489096004809464,0.07898830753875506,0.2282131247618587,0.641659382495623,Not Significant
PRKCZ,263.7,256.34482758620686,0.04081178324301228,0.9241288724232601,0.9542211090730226,0.02035098030221349,Not Significant
SKI,634.4,478.0344827586207,0.40827808105649765,0.2968910153154685,0.470692988526463,0.3272622709242201,Not Significant
MORN1,17.2,63.06896551724138,-1.874521704806409,0.005202087076401909,0.10416663849700158,0.9822713504853132,Not Significant
LOC100129534,8.2,26.93103448275862,-1.715573833283686,0.012093680999673175,0.13185261756633515,0.8799112440781209,Not Significant
RER1,1463.4,1367.9310344827586,0.097328666724907,0.7841515060668294,0.8593158543693314,0.06584717540454857,Not Significant
PEX10,124.3,245.79310344827587,-0.9836181402292272,0.061830315301296075,0.204721650832243,0.6888362250475853,Not Significant
PLCH2,1175.0,309.3103448275862,1.9255337667733106,0.0023735670226732366,0.07912073810154822,1.1017096699455802,Not Significant
PANK4,218.4,207.51724137931035,0.07374164982672535,0.8442794384296011,0.8997434773278875,0.04588129307268797,Not Significant
HES5,14.5,6.206896551724138,1.2241088939254696,0.1264648699945403,0.28602144283619907,0.5436014068837096,Not Significant
TNFRSF14,70.7,41.48275862068966,0.7691983778735321,0.3122378041877307,0.48596062354652575,0.31339891935760716,Not Significant
FAM213B,9.0,319.6551724137931,-5.150447626943008,0.022700113822311088,0.14961445269576082,0.8250264517734078,Not Significant
MMEL1,1.1,5.275862068965517,-2.2619033238151447,0.3307233428097168,0.5023435280938839,0.2989991885696143,Not Significant
PRDM16,19.2,11.620689655172415,0.7244106197795074,0.06684236647823011,0.2119563188880667,0.6737536316208249,Not Significant
ARHGEF16,203.0,189.89655172413794,0.09626601916186994,0.8737312815236378,0.9195569746336667,0.03642135723346529,Not Significant
MEGF6,33.5,248.17241379310346,-2.8891097574292464,0.07428487020360924,0.22194729249860837,0.6537501484988809,Not Significant
TPRG1L,863.8,510.13793103448273,0.7598099409995577,0.0564335397621191,0.19741490459476657,0.7046200617023262,Not Significant
WRAP73,186.3,232.9655172413793,-0.32248875361953816,0.4126028721978585,0.5703823881809471,0.24383389275281647,Not Significant
TP73,2.8,11.551724137931034,-2.044609463047321,0.024512502257994662,0.15164562247825134,0.8191701218582923,Not Significant
TP73-AS1,105.8,219.3448275862069,-1.051861058829016,0.04659748302365117,0.18352001300216922,0.7363165686735718,Not Significant
SMIM1,7.7,11.620689655172415,-0.5937653402467474,0.35980839782029117,0.5279450841481964,0.2774112496096767,Not Significant
LRRC47,492.8,607.6551724137931,-0.3022506101108963,0.4119381185486294,0.5696678342563647,0.24437830186918308,Not Significant
CEP104,414.9,353.58620689655174,0.23070165971456427,0.5030190173763918,0.6438559864441505,0.19121126196760296,Not Significant
DFFB,50.7,65.27586206896552,-0.364563858460155,0.3679045574846228,0.5346335424988288,0.2719437974216632,Not Significant
C1orf174,196.0,226.89655172413794,-0.21118102937982344,0.5666037207216177,0.6942002394950632,0.1585152408354993,Not Significant
AJAP1,13.6,5.655172413793103,1.2659637368724654,0.030906802056698476,0.16117225654649292,0.7927097135589842,Not Significant
NPHP4,117.2,137.27586206896552,-0.228105401428892,0.5657461179987535,0.6935641248699981,0.15891337916209944,Not Significant
KCNAB2,37.4,285.44827586206895,-2.9321191731024445,0.004917550845143189,0.1025498999654962,0.989064758937294,Not Significant
CHD5,6.0,14.10344827586207,-1.2330135370930206,0.18164185573861455,0.3510031386189524,0.4546890001187983,Not Significant
RPL22,2522.8,3544.1724137931033,-0.49042295024221344,0.204342958717839,0.3754774456659851,0.42541614525632815,Not Significant
RNF207,78.1,293.7931034482759,-1.9114060767310117,0.04732507651911133,0.184218815531713,0.7346660143982465,Not Significant
ICMT,1000.2,1465.4827586206898,-0.55108748468697,0.1901245785508732,0.3604391536532792,0.44316803874744687,Not Significant
GPR153,656.1,250.58620689655172,1.388608715025177,0.017091300357436764,0.14180026060603512,0.8483229709889255,Not Significant
ACOT7,1606.2,909.0,0.8212993452804646,0.04373194164851251,0.17909990771863574,0.7469046379214743,Not Significant
HES2,1955.3,844.7931034482758,1.210720013702555,0.07378545253443107,0.2213239628590212,0.6549715622406546,Not Significant
ESPN,546.5,137.13793103448276,1.9945938339942653,0.0014796334111796593,0.06378440318030097,1.1952855037368093,Not Significant
TNFRSF25,265.8,78.72413793103448,1.7554631452916827,0.0011270198345011543,0.054535136759195156,1.2633235934353968,Not Significant
PLEKHG5,945.8,285.7241379310345,1.726912221718807,0.002047210905831379,0.07405433163983303,1.1304495333310571,Not Significant
NOL9,186.0,269.37931034482756,-0.5343364276511879,0.14225754569724647,0.306630366919418,0.5133848373078902,Not Significant
ZBTB48,129.2,137.27586206896552,-0.08747190115721505,0.8310300100898287,0.8914276384180965,0.04991390488481204,Not Significant
KLHL21,1069.9,434.0,1.3017090112308765,0.0025682818788784595,0.08103310116119565,1.0913375401941716,Not Significant
PHF13,155.7,213.89655172413794,-0.45814428025250736,0.3209241796766586,0.4931953064416619,0.3069810650774941,Not Significant
THAP3,132.7,140.68965517241378,-0.08434788124845477,0.8228306567249096,0.8855816223749969,0.05277140453215981,Not Significant
DNAJC11,593.0,684.3448275862069,-0.2066913485448378,0.5884343850254157,0.7123055775372462,0.14733365500378817,Not Significant
CAMTA1,236.4,329.86206896551727,-0.4806328555685634,0.3178533042309457,0.4904813529090923,0.3093774989519709,Not Significant
VAMP3,1731.5,1102.655172413793,0.6510406925512662,0.06549155796451624,0.21022503640724008,0.6773155636359216,Not Significant
PER3,70.7,71.93103448275862,-0.024904137470157017,0.9555683741754786,0.9731154379509623,0.011835637541148695,Not Significant
TNFRSF9,25.5,51.58620689655172,-1.016488122788569,0.3957501691309959,0.5575887599632271,0.25368598945658166,Not Significant
PARK7,1922.6,2331.206896551724,-0.2780184116438208,0.4263854159220951,0.5807899777301718,0.23598088654700758,Not Significant
ERRFI1,2067.1,1568.655172413793,0.3980799350477867,0.28606526752201583,0.46056747156098893,0.3367067381486566,Not Significant
SLC45A1,3.9,65.34482758620689,-4.066527013955996,0.08670768481400501,0.23730281134232484,0.6246971166363229,Not Significant
RERE,473.7,651.8965517241379,-0.46066937205299385,0.2792417443183333,0.4534662298935548,0.3434550497658958,Not Significant
ENO1,25135.7,29676.55172413793,-0.23958560034143675,0.48015935354410655,0.6254002533357189,0.20384194717002432,Not Significant
SLC2A5,6.1,8.310344827586206,-0.4460990984268657,0.4215847650926675,0.5769192288395903,0.2388849856739326,Not Significant
GPR157,40.7,33.62068965517241,0.275679475869484,0.5194113040495516,0.6566568996478785,0.1826614881427038,Not Significant
H6PD,270.9,617.7931034482758,-1.1893633724134733,0.03220319078379123,0.1626516853667426,0.7887414322795507,Not Significant
SPSB1,406.6,435.62068965517244,-0.09946226080530803,0.8063751093953258,0.8744667378010953,0.0582567051837851,Not Significant
SLC25A33,76.8,66.10344827586206,0.21638077929321534,0.5851411178550965,0.7092103631352648,0.14922492701982498,Not Significant
TMEM201,107.9,166.68965517241378,-0.6274697080373557,0.2555963982359747,0.42983370724733805,0.366699530451092,Not Significant
PIK3CD,370.7,197.31034482758622,0.9097855177361824,0.04811546299071647,0.18505300727475207,0.7327038528427513,Not Significant
CLSTN1,5268.2,3279.1724137931033,0.6839783581860255,0.15836207717339004,0.32374637362578057,0.48979508753813056,Not Significant
CTNNBIP1,734.6,262.86206896551727,1.4826529201973564,0.003266354560235131,0.08890116480203132,1.0510925487735354,Not Significant
