Gene,Mean_RSV,Mean_Mock,Log2FC,P_value,Adjusted_P,-log10(p),Regulation
WASH7P,30.8,46.724137931034484,-0.6012376953061228,0.38693414933735903,0.6910390010744063,0.1604974410868446,Not Significant
LOC729737,16.8,55.6551724137931,-1.7280545402588103,0.33943346963090604,0.6910390010744063,0.1604974410868446,Not Significant
LOC100133331,22.2,27.482758620689655,-0.30796714740015596,0.6828794517520432,0.8022130850678904,0.09571025842713016,Not Significant
LOC100288069,6.6,9.862068965517242,-0.5794243171797263,0.36759553534396183,0.6910390010744063,0.1604974410868446,Not Significant
LINC00115,12.2,14.0,-0.19854567938208034,0.7397736193095266,0.8356782403894923,0.0779609059599084,Not Significant
SAMD11,217.0,524.8620689655172,-1.2742432971295168,0.37953139466070396,0.6910390010744063,0.1604974410868446,Not Significant
NOC2L,929.4,1527.8620689655172,-0.7171427568931474,0.157323652200798,0.6910390010744063,0.1604974410868446,Not Significant
KLHL17,125.6,190.72413793103448,-0.6026509775840885,0.3691010558101895,0.6910390010744063,0.1604974410868446,Not Significant
PLEKHN1,79.0,104.41379310344827,-0.4023877466810566,0.519322476224563,0.7168216789189222,0.14458886873029209,Not Significant
HES4,167.8,165.9655172413793,0.01585919271516095,0.9831828881477018,0.9898690203890776,0.00442226750904663,Not Significant
ISG15,2817.4,261.48275862068965,3.4295766769062954,1.15754329116843e-06,0.0003893255262476868,3.4096871206972486,Up
AGRN,3871.8,5632.793103448276,-0.5408460500057352,0.5148430349401583,0.7165360398602203,0.14476196085799636,Not Significant
RNF223,1.6,12.275862068965518,-2.939680530726188,0.3444463577451886,0.6910390010744063,0.1604974410868446,Not Significant
C1orf159,125.8,186.89655172413794,-0.5711080291217349,0.394761678326199,0.6910390010744063,0.1604974410868446,Not Significant
TNFRSF18,1.0,2.310344827586207,-1.2081081953302002,0.26262407411465194,0.6910390010744063,0.1604974410868446,Not Significant
SDF4,1289.2,2109.9655172413795,-0.7107433279288254,0.3677795618281914,0.6910390010744063,0.1604974410868446,Not Significant
B3GALT6,179.4,361.7586206896552,-1.0118475062594015,0.14551011371017708,0.6910390010744063,0.1604974410868446,Not Significant
UBE2J2,268.8,400.55172413793105,-0.5754554149767805,0.254963792227863,0.6910390010744063,0.1604974410868446,Not Significant
SCNN1D,60.0,65.34482758620689,-0.12311054232236329,0.9174809744132748,0.9501886435085217,0.022190164498855275,Not Significant
ACAP3,186.6,454.2758620689655,-1.2836196636941724,0.1038015740252981,0.6910390010744063,0.1604974410868446,Not Significant
PUSL1,70.4,189.20689655172413,-1.4263173415923653,0.1301340857944716,0.6910390010744063,0.1604974410868446,Not Significant
TAS1R3,4.6,6.862068965517241,-0.5770097642464262,0.3819820770417506,0.6910390010744063,0.1604974410868446,Not Significant
DVL1,721.0,957.2413793103449,-0.40888350309722876,0.48151392453182995,0.7066731805062859,0.1507813906141686,Not Significant
MXRA8,23.4,39.89655172413793,-0.7697555292838757,0.5885817026893867,0.7454464486557939,0.1275835499153954,Not Significant
AURKAIP1,580.2,1059.448275862069,-0.868690953858278,0.182576084622287,0.6910390010744063,0.1604974410868446,Not Significant
CCNL2,910.6,1313.0344827586207,-0.5280154401476556,0.459383981493093,0.7023269946429505,0.15346063871860313,Not Significant
LOC148413,93.4,197.17241379310346,-1.0779632646812263,0.10224980298313494,0.6910390010744063,0.1604974410868446,Not Significant
MRPL20,442.2,769.2413793103449,-0.7987373455842024,0.11122642238910292,0.6910390010744063,0.1604974410868446,Not Significant
ANKRD65,1.0,53.793103448275865,-5.749349318622039,0.27530674774248054,0.6910390010744063,0.1604974410868446,Not Significant
VWA1,169.2,656.6551724137931,-1.9564064023238747,0.397955203839399,0.6910390010744063,0.1604974410868446,Not Significant
ATAD3C,1.0,5.068965517241379,-2.341691349708792,0.18822894379350186,0.6910390010744063,0.1604974410868446,Not Significant
ATAD3B,13.2,173.72413793103448,-3.718188387135578,0.19159496330893233,0.6910390010744063,0.1604974410868446,Not Significant
ATAD3A,249.4,449.58620689655174,-0.8501363098325592,0.2315638650008987,0.6910390010744063,0.1604974410868446,Not Significant
TMEM240,2.2,5.172413793103448,-1.2333341716183739,0.28711346933196846,0.6910390010744063,0.1604974410868446,Not Significant
SSU72,816.0,1149.655172413793,-0.4945601467747114,0.30331989486567673,0.6910390010744063,0.1604974410868446,Not Significant
MIB2,163.0,324.7241379310345,-0.9943426649446216,0.20910166008900694,0.6910390010744063,0.1604974410868446,Not Significant
CDK11B,201.6,263.2068965517241,-0.3847016522513602,0.3874036247225858,0.6910390010744063,0.1604974410868446,Not Significant
SLC35E2B,212.0,416.17241379310343,-0.973117073656015,0.1247604778892441,0.6910390010744063,0.1604974410868446,Not Significant
CDK11A,114.2,133.41379310344828,-0.22434517784016392,0.686745765016005,0.8031601981332905,0.09519782181183613,Not Significant
NADK,334.0,546.5862068965517,-0.7106009512104204,0.2161154909517685,0.6910390010744063,0.1604974410868446,Not Significant
GNB1,3030.8,3870.103448275862,-0.352673477272901,0.5237657152711175,0.7172294151579895,0.14434190737138095,Not Significant
CALML6,6.8,7.241379310344827,-0.0907297761755735,0.9220910013266302,0.9526561865011156,0.02106380790967626,Not Significant
TMEM52,3.0,7.103448275862069,-1.2435570313344901,0.3255123868193477,0.6910390010744063,0.1604974410868446,Not Significant
GABRD,4.6,5.793103448275862,-0.33270256648153773,0.7334328486609263,0.8317452403692107,0.08000967568583309,Not Significant
